,freq,siec,nrg_bal,unit,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
24,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,MD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,MK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
39,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
40,A,Electricity,Energy sector - manufacturing of non-biological fuels of renewable origin used in transport - energy use,KTOE,XK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,A,Electricity - renewable,Final consumption - other transport sector- energy use - Renewable Energy Directive,KTOE,AL,0.722,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
