,freq,siec,nrg_bal,unit,geo\TIME_PERIOD,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
30,A,E7000,NRG_MNBRFT_E,KTOE,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,A,E7000,NRG_MNBRFT_E,KTOE,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,A,E7000,NRG_MNBRFT_E,KTOE,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,A,E7000,NRG_MNBRFT_E,KTOE,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,A,E7000,NRG_MNBRFT_E,KTOE,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,A,E7000,NRG_MNBRFT_E,KTOE,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,A,E7000,NRG_MNBRFT_E,KTOE,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,A,E7000,NRG_MNBRFT_E,KTOE,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,A,E7000,NRG_MNBRFT_E,KTOE,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
39,A,E7000,NRG_MNBRFT_E,KTOE,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
40,A,E7000,NRG_MNBRFT_E,KTOE,XK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,A,E7100,FC_TRA_OTH_E_RED,KTOE,AL,0.722,0.722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,A,E7100,FC_TRA_OTH_E_RED,KTOE,AT,65.124,67.895,70.52,72.539,66.97,63.708,54.323,56.904,56.677,59.813,60.501,66.934,71.548,74.386,77.605,78.672,78.923,74.1,83.161
43,A,E7100,FC_TRA_OTH_E_RED,KTOE,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
44,A,E7100,FC_TRA_OTH_E_RED,KTOE,BE,0.068,0.066,0.079,0.09,0.688,0.577,0.597,1.286,1.532,2.501,1.398,1.42,1.854,1.624,1.92,0.543,0.471,0.682,3.795
45,A,E7100,FC_TRA_OTH_E_RED,KTOE,BG,0.327,0.519,0.287,0.282,0.363,0.425,0.463,0.534,0.55,0.582,0.584,0.623,0.617,0.522,0.438,0.332,0.3,0.238,0.264
46,A,E7100,FC_TRA_OTH_E_RED,KTOE,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,A,E7100,FC_TRA_OTH_E_RED,KTOE,CZ,0.423,0.614,0.669,0.606,0.566,0.38,0.575,0.605,0.641,0.682,0.779,0.923,0.764,1.408,1.52,1.619,1.803,0.91,0.999
48,A,E7100,FC_TRA_OTH_E_RED,KTOE,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,A,E7100,FC_TRA_OTH_E_RED,KTOE,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,A,E7100,FC_TRA_OTH_E_RED,KTOE,EA20,172.273,176.957,179.933,164.0,167.627,164.746,160.509,202.842,206.996,219.385,233.788,269.632,281.903,290.693,293.585,300.008,272.479,192.595,218.593
51,A,E7100,FC_TRA_OTH_E_RED,KTOE,EE,0.887,1.214,0.942,0.902,0.973,0.82,0.83,0.818,0.825,0.622,0.411,0.392,0.469,0.433,0.415,0.722,1.163,0.0,0.0
52,A,E7100,FC_TRA_OTH_E_RED,KTOE,EL,1.76,1.965,1.897,2.002,2.222,2.156,2.186,2.259,2.419,2.81,3.245,4.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,A,E7100,FC_TRA_OTH_E_RED,KTOE,ES,29.957,27.979,22.141,0.824,2.342,2.316,3.292,6.257,6.957,6.967,7.59,8.643,8.715,8.838,9.082,9.563,6.393,7.21,8.537
54,A,E7100,FC_TRA_OTH_E_RED,KTOE,EU27_2020,191.96,199.06,198.613,183.808,187.958,183.985,178.59,218.698,214.327,227.118,242.175,278.686,291.805,299.667,302.777,309.155,282.128,196.95,241.035
55,A,E7100,FC_TRA_OTH_E_RED,KTOE,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,A,E7100,FC_TRA_OTH_E_RED,KTOE,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.183,25.622,28.144,28.851,30.98,32.396,34.149,31.785,34.319,27.097,17.081,24.967
57,A,E7100,FC_TRA_OTH_E_RED,KTOE,GE,,,,,,,,,,,,,,,,,,0.647,0.97
58,A,E7100,FC_TRA_OTH_E_RED,KTOE,HR,0.693,0.873,0.693,0.817,0.719,0.76,0.67,0.648,0.613,0.808,0.833,1.122,1.323,1.515,1.737,1.258,1.469,1.639,1.592
59,A,E7100,FC_TRA_OTH_E_RED,KTOE,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.216,0.3,0.271,0.28,0.311,0.294,0.305,0.086,0.102
60,A,E7100,FC_TRA_OTH_E_RED,KTOE,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,A,E7100,FC_TRA_OTH_E_RED,KTOE,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,A,E7100,FC_TRA_OTH_E_RED,KTOE,IT,70.999,73.876,80.819,84.552,91.406,92.263,96.135,107.399,108.199,114.918,127.905,152.851,162.271,166.434,167.854,171.696,154.059,89.168,92.767
63,A,E7100,FC_TRA_OTH_E_RED,KTOE,LT,0.519,0.641,0.45,0.197,0.378,0.334,0.415,0.463,0.421,0.482,0.368,0.485,0.592,0.668,0.687,0.671,0.521,0.328,0.362
64,A,E7100,FC_TRA_OTH_E_RED,KTOE,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,A,E7100,FC_TRA_OTH_E_RED,KTOE,LV,0.909,1.106,1.186,0.888,0.66,0.399,0.633,0.685,0.868,0.769,0.772,0.586,0.527,0.51,0.303,0.3,0.197,0.144,0.106
66,A,E7100,FC_TRA_OTH_E_RED,KTOE,MD,1.064,1.133,1.174,0.917,0.9,0.759,0.734,0.89,0.989,1.184,1.017,1.131,1.529,2.091,1.868,1.203,1.163,0.12,0.126
67,A,E7100,FC_TRA_OTH_E_RED,KTOE,ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,A,E7100,FC_TRA_OTH_E_RED,KTOE,MK,0.055,0.041,0.041,0.056,0.087,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,A,E7100,FC_TRA_OTH_E_RED,KTOE,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,A,E7100,FC_TRA_OTH_E_RED,KTOE,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,A,E7100,FC_TRA_OTH_E_RED,KTOE,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.273
72,A,E7100,FC_TRA_OTH_E_RED,KTOE,PL,5.322,5.718,5.772,5.683,5.17,5.117,5.602,5.978,5.644,5.72,6.231,6.626,7.497,5.981,6.225,6.251,5.73,1.337,0.195
73,A,E7100,FC_TRA_OTH_E_RED,KTOE,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.489,0.354,0.286,0.296,0.283,0.264,0.272,0.285,0.254,0.247,0.287
74,A,E7100,FC_TRA_OTH_E_RED,KTOE,RO,13.615,15.253,11.953,13.237,14.232,13.317,11.443,8.74,0.496,0.509,0.577,0.581,0.753,0.783,0.699,0.65,1.511,1.784,0.902
75,A,E7100,FC_TRA_OTH_E_RED,KTOE,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,A,E7100,FC_TRA_OTH_E_RED,KTOE,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.979
77,A,E7100,FC_TRA_OTH_E_RED,KTOE,SI,0.252,0.277,0.252,0.172,0.194,0.214,0.232,0.203,0.194,0.214,0.136,0.199,0.175,0.19,0.186,0.188,0.187,0.189,0.203
78,A,E7100,FC_TRA_OTH_E_RED,KTOE,SK,1.105,1.064,0.955,1.015,1.075,1.2,1.197,1.316,2.18,0.983,1.493,1.547,1.751,1.683,1.738,1.792,1.744,1.805,2.817
79,A,E7100,FC_TRA_OTH_E_RED,KTOE,TR,12.015,12.543,13.55,15.972,15.695,4.172,3.935,4.444,4.376,3.555,4.106,6.682,7.152,8.81,4.995,,,,
80,A,E7100,FC_TRA_OTH_E_RED,KTOE,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
81,A,E7100,FC_TRA_OTH_E_RED,KTOE,XK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,A,E7100,FC_TRA_RAIL_E_RED,KTOE,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,A,E7100,FC_TRA_RAIL_E_RED,KTOE,AT,119.915,112.74,115.034,114.914,121.484,121.511,126.811,126.679,117.328,117.727,116.374,119.664,123.517,125.312,126.06,122.357,117.54,120.857,125.102
84,A,E7100,FC_TRA_RAIL_E_RED,KTOE,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.731,2.101,2.41,2.531,2.071,2.007,2.105,,
85,A,E7100,FC_TRA_RAIL_E_RED,KTOE,BE,22.606,22.742,23.7,24.271,25.608,25.222,27.358,29.112,28.462,32.038,33.134,35.879,38.448,40.61,41.584,42.917,40.495,27.631,32.682
86,A,E7100,FC_TRA_RAIL_E_RED,KTOE,BG,5.745,5.636,5.376,5.316,5.054,5.482,4.676,4.501,4.251,3.913,4.175,6.257,6.757,7.761,7.031,8.326,10.192,8.284,8.197
87,A,E7100,FC_TRA_RAIL_E_RED,KTOE,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,A,E7100,FC_TRA_RAIL_E_RED,KTOE,CZ,23.334,23.02,22.829,23.366,23.498,23.643,24.257,26.739,27.668,29.923,31.542,34.7,37.878,40.165,42.205,43.794,41.749,18.932,20.559
89,A,E7100,FC_TRA_RAIL_E_RED,KTOE,DE,104.496,106.435,102.76,111.171,113.854,136.676,157.026,182.045,188.154,213.889,232.779,240.647,281.715,313.337,329.108,335.373,351.313,404.87,445.186
90,A,E7100,FC_TRA_RAIL_E_RED,KTOE,DK,7.557,7.659,7.68,7.545,7.79,8.491,9.01,9.646,10.837,11.907,12.817,14.707,17.387,17.953,18.617,21.226,22.743,25.667,28.041
91,A,E7100,FC_TRA_RAIL_E_RED,KTOE,EA20,573.878,570.66,551.893,574.723,607.003,634.448,689.674,759.788,773.491,842.026,896.882,962.79,1053.561,1107.368,1130.795,1129.886,1046.998,1064.553,1208.32
92,A,E7100,FC_TRA_RAIL_E_RED,KTOE,EE,0.191,0.191,0.191,0.183,0.189,0.182,0.223,0.213,0.22,0.221,0.281,0.3,0.296,0.331,0.259,0.321,0.318,0.247,0.313
93,A,E7100,FC_TRA_RAIL_E_RED,KTOE,EL,1.487,0.751,1.064,1.537,1.249,1.367,0.734,1.014,1.044,2.107,3.656,4.202,4.02,4.177,4.638,4.874,5.046,4.484,5.726
94,A,E7100,FC_TRA_RAIL_E_RED,KTOE,ES,55.647,59.719,39.818,44.743,51.386,53.426,62.581,89.399,93.182,95.971,104.023,113.656,114.576,116.065,114.915,109.019,88.529,99.4,120.794
95,A,E7100,FC_TRA_RAIL_E_RED,KTOE,EU27_2020,835.807,818.511,794.454,825.218,832.757,865.367,924.811,1033.266,1045.592,1138.433,1191.411,1280.067,1396.97,1459.457,1492.112,1494.934,1398.231,1366.347,1531.476
96,A,E7100,FC_TRA_RAIL_E_RED,KTOE,FI,14.469,14.883,15.503,16.757,16.674,15.679,17.018,16.835,17.247,18.255,18.047,18.41,18.674,20.853,22.42,23.714,21.678,22.568,23.442
97,A,E7100,FC_TRA_RAIL_E_RED,KTOE,FR,136.785,134.561,136.212,141.409,151.327,153.048,160.178,162.631,170.005,188.109,197.534,213.544,223.415,230.663,223.689,226.505,192.021,150.615,175.784
