,freq,siec,plant_tec,unit,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
19,A,Pure biogasoline,CAP_PRD,THS_TY,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,9.6,9.6,9.6,9.6,9.6
20,A,Pure biogasoline,CAP_PRD,THS_TY,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,A,Pure biogasoline,CAP_PRD,THS_TY,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0
22,A,Pure biogasoline,CAP_PRD,THS_TY,LI,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,A,Pure biogasoline,CAP_PRD,THS_TY,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,16.0,17.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0
24,A,Pure biogasoline,CAP_PRD,THS_TY,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,A,Pure biogasoline,CAP_PRD,THS_TY,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,13.4,28.361,28.361,25.0,25.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
26,A,Pure biogasoline,CAP_PRD,THS_TY,MD,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,A,Pure biogasoline,CAP_PRD,THS_TY,ME,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,A,Pure biogasoline,CAP_PRD,THS_TY,MK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,A,Pure biogasoline,CAP_PRD,THS_TY,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,A,Pure biogasoline,CAP_PRD,THS_TY,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,11.22,11.22,11.22,11.22,0.0,0.0,0.0,0.0,503.0,0.0,821.0,421.0,468.0,592.0,617.0,589.0,598.0,625.0
31,A,Pure biogasoline,CAP_PRD,THS_TY,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,A,Pure biogasoline,CAP_PRD,THS_TY,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.2,321.3,394.8,394.8,406.0,408.8,397.6,365.4,507.5,600.6,600.6,636.636,636.58,657.58,692.58,643.58
33,A,Pure biogasoline,CAP_PRD,THS_TY,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,A,Pure biogasoline,CAP_PRD,THS_TY,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,89.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
35,A,Pure biogasoline,CAP_PRD,THS_TY,RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,A,Pure biogasoline,CAP_PRD,THS_TY,SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.243,49.674,51.186,55.175,133.881,156.806,150.213,187.545,187.545,155.986,200.801,177.525,190.0,199.0,199.0,199.0,199.0,199.0
37,A,Pure biogasoline,CAP_PRD,THS_TY,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,A,Pure biogasoline,CAP_PRD,THS_TY,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.15,95.0,98.0,106.0,103.0,120.0,106.0,112.0,118.0,118.0,126.0,142.0,142.0,142.0,142.0
39,A,Pure biogasoline,CAP_PRD,THS_TY,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,A,Pure biogasoline,CAP_PRD,THS_TY,UA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,,
41,A,Pure biogasoline,CAP_PRD,THS_TY,UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.301,55.58,59.55,374.768,374.768,710.63,718.572,718.572,714.602,722.542,722.542,718.572,718.572,,,
42,A,Pure biogasoline,CAP_PRD,THS_TY,XK,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,A,Pure biodiesels,CAP_PRD,THS_TY,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0
44,A,Pure biodiesels,CAP_PRD,THS_TY,AT,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,110.0,110.0,190.0,340.0,560.0,655.0,645.5,645.5,645.5,645.5,645.5,645.5,645.5,645.5,645.5,645.5,645.5,645.5,645.5
45,A,Pure biodiesels,CAP_PRD,THS_TY,BA,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,A,Pure biodiesels,CAP_PRD,THS_TY,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665.0,665.0,665.0,665.0,665.0,665.0,665.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
47,A,Pure biodiesels,CAP_PRD,THS_TY,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,191.76,192.6,93.738,63.738,63.738,163.738,160.0,160.0,160.0,160.0,180.0,180.0,260.0,268.0
48,A,Pure biodiesels,CAP_PRD,THS_TY,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.04,14.08,14.08,14.08,14.08,14.08,14.08,14.08,14.08,5.0,5.0,5.0,5.0,0.0,0.0,0.0
49,A,Pure biodiesels,CAP_PRD,THS_TY,CZ,0.0,0.0,3.5,6.55,33.5,58.0,62.5,62.5,62.5,67.5,111.55,111.55,114.43,198.075,202.0,194.5,194.5,346.0,333.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0
50,A,Pure biodiesels,CAP_PRD,THS_TY,DE,0.0,2.0,5.0,7.0,38.0,47.0,75.0,122.0,136.0,176.0,339.0,491.0,576.0,995.0,1084.0,1772.0,2676.0,4098.0,4039.0,4050.0,4694.0,4494.0,4296.0,4308.0,4161.0,4212.0,4125.0,4153.0,4279.0,4171.0,3793.0,4120.0,4151.0
51,A,Pure biodiesels,CAP_PRD,THS_TY,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,A,Pure biodiesels,CAP_PRD,THS_TY,EA20,28.0,30.0,33.0,35.0,66.0,75.0,103.0,150.0,164.0,204.0,367.0,581.649,696.0,1548.75,1828.0,2970.562,4619.546,10067.325,13926.677,17618.892,19128.659,19586.306,18812.165,19523.892,19503.299,19487.119,18612.246,18856.051,19030.651,19003.651,18764.05,19365.65,18178.802
53,A,Pure biodiesels,CAP_PRD,THS_TY,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,A,Pure biodiesels,CAP_PRD,THS_TY,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,575.0,575.0,575.0,900.0,746.808,746.808,980.535,973.104,993.924,993.924,1045.449,1045.449,1045.449,1135.448,1135.448,0.0
55,A,Pure biodiesels,CAP_PRD,THS_TY,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,120.0,179.0,255.0,403.0,946.0,1681.0,4272.0,4286.0,4341.0,3762.0,4243.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0,4237.0
56,A,Pure biodiesels,CAP_PRD,THS_TY,EU27_2020,28.0,30.0,36.5,41.55,99.5,133.0,165.5,212.5,226.5,271.5,478.55,693.199,810.43,1746.825,2030.0,3173.357,4837.372,10873.51,15343.478,19103.177,20815.97,21161.491,20860.707,21448.234,21581.189,21884.531,20717.596,21128.969,21809.254,21812.254,21870.931,22845.013,21698.02
57,A,Pure biodiesels,CAP_PRD,THS_TY,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,380.0,380.0,380.0,380.0,380.0,380.0,380.0,480.0,480.0,490.0,500.0,500.0,500.0,600.0,600.0
58,A,Pure biodiesels,CAP_PRD,THS_TY,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,395.0,612.862,623.046,1028.255,2094.955,2254.955,2759.955,2759.955,2759.955,2759.955,2759.955,2759.955,2305.0,2305.0,2305.0,2305.0,2305.0,2305.0,2305.0
